threshold,mean_f1,mean_precision,fold_f1_json,fold_precision_json,selected
0.23000000000000001,0.63902575232332315,0.47186619609688452,"[0.6332155477031802,0.6635451505016723,0.6056737588652482,0.6459627329192547,0.6467315716272601]","[0.46424870466321244,0.4984924623115578,0.4357142857142857,0.48297213622291024,0.4779033915724563]",False
0.23999999999999999,0.6391274216334597,0.4725697694878262,"[0.6344238975817923,0.6635388739946381,0.6041222459132907,0.6459197786998617,0.6476323119777159]","[0.4665271966527197,0.49899193548387094,0.43500511770726713,0.4834368530020704,0.4788877445932029]",False
0.25,0.6391893534757529,0.47352040036938281,"[0.6323319027181689,0.6626425217974514,0.6052819414703783,0.6453407510431154,0.6503496503496503]","[0.46624472573839665,0.49848637739656915,0.43666323377960864,0.48434237995824636,0.48186528497409326]",False
0.26000000000000001,0.63987490925076629,0.47477488695855952,"[0.6341463414634146,0.6608344549125168,0.6055833929849678,0.6480055983205039,0.6508047585724283]","[0.4682203389830508,0.49797160243407707,0.43743536711478803,0.48788198103266595,0.4823651452282158]",False
0.27000000000000002,0.64201839669829219,0.47741887979439446,"[0.6378066378066378,0.6603646185010128,0.6076313894888409,0.6502808988764045,0.6540084388185654]","[0.4722222222222222,0.4984709480122324,0.44004171011470283,0.4904661016949153,0.48589341692789967]",False
0.28000000000000003,0.64248294608284584,0.4786587669028286,"[0.6405228758169934,0.6635006784260515,0.607942238267148,0.6459802538787024,0.6544686840253343]","[0.47572815533980584,0.502053388090349,0.4408376963350785,0.488272921108742,0.48640167364016734]",False
0.28999999999999998,0.64382115591968803,0.48055621167968121,"[0.6446886446886447,0.6648501362397821,0.6086956521739131,0.6454802259887006,0.6553911205073996]","[0.4808743169398907,0.5041322314049587,0.4421052631578947,0.48824786324786323,0.48742138364779874]",False
0.29999999999999999,0.64459694557044023,0.48222428456179423,"[0.6484893146647015,0.6621067031463749,0.6102189781021898,0.6453900709219859,0.6567796610169492]","[0.48511576626240355,0.5031185031185031,0.44468085106382976,0.489247311827957,0.4889589905362776]",False
0.31,0.64605713142751708,0.48469458895766493,"[0.6518518518518519,0.6602209944751382,0.6133528980190756,0.6462196861626248,0.6586402266288952]","[0.4888888888888889,0.5042194092827004,0.4480171489817792,0.4913232104121475,0.4910242872228089]",False
0.32000000000000001,0.64938571232489495,0.48921092520970139,"[0.6576779026217229,0.6611111111111111,0.6168639053254438,0.6488824801730353,0.6623931623931624]","[0.496045197740113,0.5063829787234042,0.4522776572668113,0.4961411245865491,0.4952076677316294]",False
0.33000000000000002,0.65132399417901921,0.49211651939030859,"[0.6586466165413534,0.6634009797060881,0.6181277860326895,0.6540697674418605,0.6623748211731044]","[0.49772727272727274,0.5102260495156081,0.45414847161572053,0.5022321428571429,0.4962486602357985]",False
0.34000000000000002,0.65359336179932426,0.49584193388554026,"[0.6631339894019682,0.6666666666666666,0.6209495101733233,0.6529411764705882,0.6642754662840746]","[0.5028702640642939,0.5140997830802603,0.4593088071348941,0.5045454545454545,0.4983853606027987]",False
0.34999999999999998,0.65423812180092056,0.49805454154879791,"[0.6600458365164248,0.6690190543401553,0.6196969696969697,0.6557620817843867,0.6666666666666666]","[0.5029103608847497,0.5169029443838604,0.45955056179775283,0.5098265895953757,0.5010822510822511]",False
0.35999999999999999,0.6545580360437141,0.49984782194205818,"[0.6620583717357911,0.6709310589907604,0.6184310738766184,0.6542195668409261,0.6671501087744742]","[0.505868544600939,0.5203969128996693,0.45979614949037373,0.509895227008149,0.5032822757111597]",False
0.37,0.65750382045973355,0.50416370426418589,"[0.6666666666666666,0.671919770773639,0.6217457886676876,0.6571213262999246,0.6700655498907502]","[0.5125448028673835,0.5234375,0.4634703196347032,0.5147579693034239,0.5066079295154186]",False
0.38,0.66020234356023122,0.50807427510720249,"[0.6682242990654206,0.6743515850144092,0.6223938223938223,0.6590736522399393,0.6769683590875644]","[0.5143884892086331,0.527027027027027,0.4658959537572254,0.5185185185185185,0.5145413870246085]",False
0.39000000000000001,0.66274601457185922,0.51265898683494071,"[0.668769716088328,0.6767895878524945,0.622568093385214,0.6620583717357911,0.6835443037974683]","[0.5183374083129584,0.5300113250283126,0.4678362573099415,0.524330900243309,0.5227790432801822]",False
0.40000000000000002,0.66465241141049358,0.51647641471073646,"[0.6687797147385103,0.674435542607429,0.6247049567269867,0.6651162790697674,0.6902255639097744]","[0.5197044334975369,0.5303550973654066,0.47205707491082044,0.5296296296296297,0.530635838150289]",False
0.40999999999999998,0.66493449426405671,0.51929445187633438,"[0.6725099601593626,0.6715542521994134,0.6274821286735505,0.6651017214397497,0.6880244088482075]","[0.5242236024844721,0.5300925925925926,0.4764776839565742,0.5325814536340853,0.533096926713948]",False
0.41999999999999998,0.66705628785212379,0.52409332127918784,"[0.677938808373591,0.6686434395848777,0.6276083467094703,0.6682501979414094,0.6928406466512702]","[0.5315656565656566,0.5312131919905771,0.4791666666666667,0.5389527458492975,0.539568345323741]",False
