model_family,candidate_order,C,class_weight,mean_auprc,mean_auroc,fold_auprc_json,fold_auroc_json,selected,max_depth,min_samples_leaf,max_features
random_forest,23,,balanced,0.73901559407593409,0.77769693840944876,"[0.7642181538776736,0.760315408653375,0.6939893470395258,0.7372310144831846,0.739324046325911]","[0.8031189083820662,0.78025,0.7548797792668506,0.7587114197530864,0.7915245846452407]",False,8,2,0.5
random_forest,24,,,0.7520915042117654,0.78726134912936152,"[0.7519825402752588,0.7825258575494612,0.7285115114202476,0.7570999902196629,0.7403376215941966]","[0.7947056530214425,0.7933730769230769,0.7695151754040205,0.7808950617283951,0.7978177785698727]",False,,10,sqrt
random_forest,25,,balanced,0.75301417669129067,0.78757130562691224,"[0.7593478400494498,0.783381989924967,0.7234840543560793,0.7554376844286476,0.74341931469731]","[0.797785575048733,0.7934923076923077,0.7676744186046511,0.7775655864197532,0.8013386403691162]",False,,10,sqrt
random_forest,26,,,0.73531965684508582,0.77510152117952458,"[0.755796625047799,0.757979490905607,0.6894909900202831,0.7451780755991719,0.7281531026525678]","[0.7953216374269005,0.7725961538461539,0.7494521087899093,0.7628665123456789,0.79527119348898]",False,,10,0.5
random_forest,27,,balanced,0.73396278486058231,0.77416106181118594,"[0.7452155186127977,0.758608384828894,0.6943792196734632,0.7418160436695261,0.7297947575182304]","[0.7936569200779728,0.7711692307692307,0.751710681907765,0.7600270061728395,0.7942414701281213]",False,,10,0.5
random_forest,28,,,0.75010411699558388,0.78443331735812694,"[0.7477774125420227,0.7815820142982974,0.7196937787153497,0.7554879127010634,0.7459794667211863]","[0.7921442495126707,0.7888076923076923,0.7650532124556564,0.7767515432098766,0.7994098893047387]",False,,5,sqrt
random_forest,29,,balanced,0.74868028096711903,0.7845060170970527,"[0.7463880424626996,0.7844313173869844,0.7186100324607061,0.7520552028995567,0.7419168096256485]","[0.7941403508771931,0.7879384615384616,0.7651754040204966,0.774753086419753,0.800522782629359]",False,,5,sqrt
random_forest,30,,,0.73662715487218611,0.7738695031859818,"[0.7529257717855898,0.7553501780998514,0.6872476803794496,0.7431780538370738,0.7444340902589662]","[0.7955126705653022,0.7706884615384615,0.7477335435553804,0.7613773148148149,0.7940355254559497]",False,,5,0.5
random_forest,31,,balanced,0.73121154356845663,0.77040114424605621,"[0.7440916835774873,0.7546194978922025,0.6863055427121265,0.7380446405988127,0.7329963530616539]","[0.7918830409356726,0.7671653846153845,0.7462633031139141,0.7557793209876542,0.790914671577655]",False,,5,0.5
random_forest,32,,,0.74957793627074798,0.78300859950725088,"[0.7492457365251821,0.7779633277610911,0.7228991246019324,0.758562916520024,0.7392185759455104]","[0.7939493177387914,0.7847615384615385,0.7656326369728025,0.7751273148148147,0.7955721895483078]",False,,2,sqrt
random_forest,33,,balanced,0.74368556959915688,0.78081075749604856,"[0.7376139641521338,0.7728869281573288,0.7157085197035504,0.754332504554724,0.7378859314280476]","[0.7908070175438597,0.7819307692307693,0.761864406779661,0.7727546296296296,0.7966969642963228]",False,,2,sqrt
random_forest,34,,,0.73428617422506692,0.77070498952861222,"[0.7466888848321453,0.761028597535135,0.6825282390663963,0.743931361977483,0.7372537877141752]","[0.7892105263157895,0.7707923076923078,0.7436893969255025,0.7590586419753086,0.7907740747341532]",False,,2,0.5
random_forest,35,,balanced,0.73442024746252543,0.76853169208601912,"[0.741162965880916,0.7624333237564469,0.6862740140313077,0.7368512763629579,0.7453796572809981]","[0.790458089668616,0.7684807692307691,0.7427355143870713,0.7547685185185184,0.7862155686251212]",False,,2,0.5
