threshold,answered_count,total_count,coverage,unsafe_answered_count,selective_risk
0.4760283138907685,344,1068,0.32209737827715357,129,0.375
0.47574440747563407,345,1068,0.32303370786516855,129,0.37391304347826088
0.47574342312459156,346,1068,0.32397003745318353,129,0.37283236994219654
0.47562809080907148,347,1068,0.32490636704119852,129,0.37175792507204614
0.47424473958288005,348,1068,0.3258426966292135,130,0.37356321839080459
0.47417842077154004,349,1068,0.32677902621722849,131,0.37535816618911177
0.47395943098430487,350,1068,0.32771535580524347,131,0.37428571428571428
0.47376001594763817,351,1068,0.32865168539325845,131,0.37321937321937321
0.47375247521377661,352,1068,0.32958801498127338,132,0.375
0.47329574643258682,353,1068,0.33052434456928836,133,0.37677053824362605
0.47311597216005913,354,1068,0.33146067415730335,134,0.37853107344632769
0.47129536326526561,355,1068,0.33239700374531833,134,0.37746478873239436
0.47082753763983176,356,1068,0.33333333333333331,134,0.37640449438202245
0.47055171809460633,357,1068,0.3342696629213483,135,0.37815126050420167
0.47012473518289466,359,1068,0.33614232209737827,135,0.37604456824512533
0.46968849979239075,360,1068,0.33707865168539325,136,0.37777777777777777
0.46947087705831908,361,1068,0.33801498127340823,137,0.37950138504155123
0.468968586129548,362,1068,0.33895131086142322,137,0.37845303867403313
0.4682983298861767,363,1068,0.3398876404494382,138,0.38016528925619836
0.46808367846103338,364,1068,0.34082397003745318,139,0.38186813186813184
0.46753878480024541,365,1068,0.34176029962546817,140,0.38356164383561642
0.46717099943086549,366,1068,0.34269662921348315,140,0.38251366120218577
0.46646919844285573,367,1068,0.34363295880149813,140,0.38147138964577659
0.46618601794023479,368,1068,0.34456928838951312,141,0.38315217391304346
0.46525389374149945,369,1068,0.3455056179775281,142,0.38482384823848237
0.46503346394502415,370,1068,0.34644194756554308,142,0.38378378378378381
0.46451924539330713,371,1068,0.34737827715355807,143,0.38544474393530997
0.463958296868201,372,1068,0.34831460674157305,144,0.38709677419354838
0.46341022245388075,373,1068,0.34925093632958804,145,0.38873994638069703
