bin,lower,upper,upper_inclusive,count,mean_probability,positive_fraction,ece_contribution,model,probability_method
4,0.40000000000000002,0.5,False,151,0.45232682971944244,0.47019867549668876,0.0025268246370451258,B2_logistic_regression,uncalibrated
5,0.5,0.59999999999999998,False,153,0.54986940151019414,0.60784313725490191,0.0083052261881463359,B2_logistic_regression,uncalibrated
6,0.59999999999999998,0.69999999999999996,False,100,0.64361510717349713,0.58999999999999997,0.0050201411211139666,B2_logistic_regression,uncalibrated
7,0.69999999999999996,0.80000000000000004,False,62,0.74484080306640954,0.64516129032258063,0.005786638380259731,B2_logistic_regression,uncalibrated
8,0.80000000000000004,0.90000000000000002,False,59,0.84707734162521309,0.79661016949152541,0.0027879804830407986,B2_logistic_regression,uncalibrated
9,0.90000000000000002,1,True,16,0.92330142727514575,0.625,0.0044689352400770896,B2_logistic_regression,uncalibrated
0,0,0.10000000000000001,False,51,0.085430437540435611,0.11764705882352941,0.0015384341623949286,B3_random_forest,uncalibrated
1,0.10000000000000001,0.20000000000000001,False,178,0.15613392270120299,0.1797752808988764,0.0039402263662789011,B3_random_forest,uncalibrated
2,0.20000000000000001,0.29999999999999999,False,158,0.25045013110371667,0.29113924050632911,0.0060195498928958483,B3_random_forest,uncalibrated
3,0.29999999999999999,0.40000000000000002,False,196,0.34966267218672603,0.5357142857142857,0.034144303606181363,B3_random_forest,uncalibrated
4,0.40000000000000002,0.5,False,182,0.45089002798811822,0.49450549450549453,0.0074325982267439009,B3_random_forest,uncalibrated
5,0.5,0.59999999999999998,False,107,0.54715404126635958,0.55140186915887845,0.00042557826263999951,B3_random_forest,uncalibrated
6,0.59999999999999998,0.69999999999999996,False,84,0.64173337257992369,0.5714285714285714,0.0055295911017917533,B3_random_forest,uncalibrated
7,0.69999999999999996,0.80000000000000004,False,85,0.75321785066686375,0.75294117647058822,2.2019950078108512e-05,B3_random_forest,uncalibrated
8,0.80000000000000004,0.90000000000000002,False,27,0.82922570077424207,1,0.0043173277894152286,B3_random_forest,uncalibrated
9,0.90000000000000002,1,True,0,,,0,B3_random_forest,uncalibrated
0,0,0.10000000000000001,False,1,0.097148501160936193,0,9.0963016068292316e-05,B4_calibrated_random_forest,sigmoid
1,0.10000000000000001,0.20000000000000001,False,263,0.14966499957885987,0.155893536121673,0.0015338062834830096,B4_calibrated_random_forest,sigmoid
2,0.20000000000000001,0.29999999999999999,False,183,0.24909483968830903,0.43169398907103823,0.031288056495355286,B4_calibrated_random_forest,sigmoid
3,0.29999999999999999,0.40000000000000002,False,172,0.34692690237232127,0.52325581395348841,0.02839754006737898,B4_calibrated_random_forest,sigmoid
4,0.40000000000000002,0.5,False,150,0.45131730848492596,0.47999999999999998,0.0040284679094205085,B4_calibrated_random_forest,sigmoid
5,0.5,0.59999999999999998,False,88,0.55022853666492888,0.48863636363636365,0.0050750105117169852,B4_calibrated_random_forest,sigmoid
6,0.59999999999999998,0.69999999999999996,False,90,0.65341774265954,0.62222222222222223,0.0026288359919088007,B4_calibrated_random_forest,sigmoid
7,0.69999999999999996,0.80000000000000004,False,72,0.76066844078623896,0.72222222222222221,0.0025918799031921405,B4_calibrated_random_forest,sigmoid
8,0.80000000000000004,0.90000000000000002,False,49,0.8239746668428366,0.89795918367346939,0.0033944207160121784,B4_calibrated_random_forest,sigmoid
9,0.90000000000000002,1,True,0,,,0,B4_calibrated_random_forest,sigmoid
0,0,0.10000000000000001,False,76,0.072266542523053132,0.10526315789473684,0.0023480737530411624,B4_calibrated_random_forest,isotonic
1,0.10000000000000001,0.20000000000000001,False,102,0.13944299239336894,0.22549019607843138,0.0082179913631801205,B4_calibrated_random_forest,isotonic
2,0.20000000000000001,0.29999999999999999,False,238,0.2360981050110752,0.27731092436974791,0.0091841301567079647,B4_calibrated_random_forest,isotonic
3,0.29999999999999999,0.40000000000000002,False,188,0.32856806213144168,0.55851063829787229,0.040476783070495279,B4_calibrated_random_forest,isotonic
4,0.40000000000000002,0.5,False,210,0.48285344857274015,0.48095238095238096,0.00037380543096950309,B4_calibrated_random_forest,isotonic
5,0.5,0.59999999999999998,False,111,0.57565930831159351,0.59459459459459463,0.0019679932372782061,B4_calibrated_random_forest,isotonic
6,0.59999999999999998,0.69999999999999996,False,8,0.63236870776232545,0.5,0.00099152590084138916,B4_calibrated_random_forest,isotonic
7,0.69999999999999996,0.80000000000000004,False,66,0.75312999369603151,0.66666666666666663,0.0053432393108034477,B4_calibrated_random_forest,isotonic
8,0.80000000000000004,0.90000000000000002,False,69,0.83070274620397166,0.86956521739130432,0.0025107776328894696,B4_calibrated_random_forest,isotonic
9,0.90000000000000002,1,True,0,,,0,B4_calibrated_random_forest,isotonic
