threshold,answered_count,total_count,coverage,unsafe_answered_count,selective_risk,record_type,risk_constraint
0.6183427444020934,179.0,1068.0,0.1676029962546816,49.0,0.2737430167597765,curve,
0.6177286576345203,180.0,1068.0,0.1685393258426966,50.0,0.2777777777777777,curve,
0.6140280051880048,181.0,1068.0,0.1694756554307116,51.0,0.2817679558011049,curve,
0.6121320071046749,182.0,1068.0,0.1704119850187265,51.0,0.2802197802197802,curve,
0.6099955464039148,183.0,1068.0,0.1713483146067415,52.0,0.2841530054644808,curve,
0.6098383293726263,185.0,1068.0,0.1732209737827715,52.0,0.2810810810810811,curve,
0.6069047345283581,187.0,1068.0,0.1750936329588015,52.0,0.2780748663101604,curve,
0.6062129440311523,188.0,1068.0,0.1760299625468164,53.0,0.2819148936170212,curve,
0.6060907757156409,189.0,1068.0,0.1769662921348314,54.0,0.2857142857142857,curve,
0.6057564414791157,190.0,1068.0,0.1779026217228464,54.0,0.2842105263157894,curve,
0.6056605306814175,191.0,1068.0,0.1788389513108614,54.0,0.2827225130890052,curve,
0.6054750019581336,192.0,1068.0,0.1797752808988764,55.0,0.2864583333333333,curve,
0.6048085779769649,193.0,1068.0,0.1807116104868913,55.0,0.2849740932642487,curve,
0.603211900695659,194.0,1068.0,0.1816479400749063,56.0,0.2886597938144329,curve,
0.6019502734723916,195.0,1068.0,0.1825842696629213,57.0,0.2923076923076923,curve,
0.6013656029844763,196.0,1068.0,0.1835205992509363,57.0,0.2908163265306122,curve,
0.5984817992465322,197.0,1068.0,0.1844569288389513,57.0,0.2893401015228426,curve,
0.5984231035939293,198.0,1068.0,0.1853932584269663,57.0,0.2878787878787879,curve,
0.5964617350262774,199.0,1068.0,0.1863295880149812,57.0,0.2864321608040201,curve,
0.5956117908682342,201.0,1068.0,0.1882022471910112,57.0,0.2835820895522387,curve,
0.5920748898184274,202.0,1068.0,0.1891385767790262,57.0,0.2821782178217821,curve,
0.5918430701839014,203.0,1068.0,0.1900749063670411,57.0,0.2807881773399014,curve,
0.5911208971666174,204.0,1068.0,0.1910112359550561,58.0,0.284313725490196,curve,
0.5908210904132738,205.0,1068.0,0.1919475655430711,59.0,0.2878048780487804,curve,
0.5874139418526048,206.0,1068.0,0.1928838951310861,59.0,0.2864077669902912,curve,
0.5863017189110786,207.0,1068.0,0.1938202247191011,59.0,0.2850241545893719,curve,
0.5856139529366924,208.0,1068.0,0.1947565543071161,59.0,0.2836538461538461,curve,
0.584041745277925,209.0,1068.0,0.195692883895131,59.0,0.2822966507177033,curve,
0.5840182081029798,210.0,1068.0,0.196629213483146,59.0,0.2809523809523809,curve,
0.5834963040531232,211.0,1068.0,0.197565543071161,59.0,0.2796208530805687,curve,
0.582102783286589,212.0,1068.0,0.198501872659176,59.0,0.2783018867924528,curve,
0.581854348373735,213.0,1068.0,0.199438202247191,60.0,0.2816901408450704,curve,
0.5814978545856245,214.0,1068.0,0.2003745318352059,60.0,0.2803738317757009,curve,
0.5781242937655523,215.0,1068.0,0.2013108614232209,60.0,0.2790697674418604,curve,
0.5776192244628908,216.0,1068.0,0.2022471910112359,60.0,0.2777777777777777,curve,
0.5727155730443311,217.0,1068.0,0.2031835205992509,61.0,0.2811059907834101,curve,
0.5717041027970656,218.0,1068.0,0.2041198501872659,61.0,0.2798165137614678,curve,
0.5715400320028812,219.0,1068.0,0.2050561797752809,62.0,0.2831050228310502,curve,
0.5709711519556046,220.0,1068.0,0.2059925093632958,63.0,0.2863636363636363,curve,
0.568764987913986,221.0,1068.0,0.2069288389513108,63.0,0.2850678733031674,curve,
0.5674144268840836,222.0,1068.0,0.2078651685393258,64.0,0.2882882882882882,curve,
0.5672630751733597,223.0,1068.0,0.2088014981273408,64.0,0.2869955156950672,curve,
0.5664883250533859,224.0,1068.0,0.2097378277153558,64.0,0.2857142857142857,curve,
0.5658641059468023,225.0,1068.0,0.2106741573033707,65.0,0.2888888888888888,curve,
0.5654464510879844,226.0,1068.0,0.2116104868913857,66.0,0.2920353982300885,curve,
0.564348028517299,227.0,1068.0,0.2125468164794007,66.0,0.290748898678414,curve,
0.564030754249978,228.0,1068.0,0.2134831460674157,67.0,0.293859649122807,curve,
0.5631802210589492,229.0,1068.0,0.2144194756554307,68.0,0.296943231441048,curve,
0.5626190493852729,231.0,1068.0,0.2162921348314606,68.0,0.2943722943722944,curve,
0.5616405185181531,232.0,1068.0,0.2172284644194756,68.0,0.293103448275862,curve,
0.5612885117220046,233.0,1068.0,0.2181647940074906,69.0,0.2961373390557939,curve,
0.560187486931745,234.0,1068.0,0.2191011235955056,69.0,0.2948717948717948,curve,
0.5601463212728807,236.0,1068.0,0.2209737827715355,69.0,0.2923728813559322,curve,
0.5598394976728026,237.0,1068.0,0.2219101123595505,69.0,0.2911392405063291,curve,
0.5594928289289476,238.0,1068.0,0.2228464419475655,70.0,0.2941176470588235,curve,
0.5594831675944582,239.0,1068.0,0.2237827715355805,71.0,0.2970711297071129,curve,
0.5576444810446544,240.0,1068.0,0.2247191011235955,71.0,0.2958333333333333,curve,
0.5575127893041382,241.0,1068.0,0.2256554307116104,72.0,0.2987551867219916,curve,
0.5572740935452389,242.0,1068.0,0.2265917602996254,72.0,0.2975206611570248,curve,
0.5567532037475907,243.0,1068.0,0.2275280898876404,73.0,0.3004115226337448,curve,
0.5565482492942716,244.0,1068.0,0.2284644194756554,74.0,0.3032786885245901,curve,
0.5543885706525068,245.0,1068.0,0.2294007490636704,75.0,0.3061224489795918,curve,
0.5517566557193408,246.0,1068.0,0.2303370786516854,76.0,0.3089430894308943,curve,
0.5508161286364452,247.0,1068.0,0.2312734082397003,77.0,0.3117408906882591,curve,
0.5501910945729847,248.0,1068.0,0.2322097378277153,77.0,0.3104838709677419,curve,
0.5492272521582143,249.0,1068.0,0.2331460674157303,78.0,0.3132530120481927,curve,
0.5473851502822296,250.0,1068.0,0.2340823970037453,79.0,0.316,curve,
0.5468968970894642,251.0,1068.0,0.2350187265917602,80.0,0.3187250996015936,curve,
0.5452769963777007,252.0,1068.0,0.2359550561797752,80.0,0.3174603174603174,curve,
0.5442055304143749,253.0,1068.0,0.2368913857677902,80.0,0.3162055335968379,curve,
0.5441907583125852,254.0,1068.0,0.2378277153558052,80.0,0.3149606299212598,curve,
0.5424193412030196,255.0,1068.0,0.2387640449438202,80.0,0.3137254901960784,curve,
0.5416681693485949,256.0,1068.0,0.2397003745318352,81.0,0.31640625,curve,
0.5415200675546777,257.0,1068.0,0.2406367041198501,81.0,0.3151750972762645,curve,
0.5414920328339714,258.0,1068.0,0.2415730337078651,81.0,0.313953488372093,curve,
0.5400483284762267,259.0,1068.0,0.2425093632958801,81.0,0.3127413127413127,curve,
0.5398401248943349,260.0,1068.0,0.2434456928838951,81.0,0.3115384615384615,curve,
0.5391404900441196,261.0,1068.0,0.2443820224719101,82.0,0.3141762452107279,curve,
0.5389244895271587,262.0,1068.0,0.245318352059925,83.0,0.3167938931297709,curve,
0.5353909744887639,264.0,1068.0,0.247191011235955,83.0,0.3143939393939393,curve,
0.5328068846822501,265.0,1068.0,0.24812734082397,83.0,0.3132075471698113,curve,
0.5322922692602207,266.0,1068.0,0.249063670411985,84.0,0.3157894736842105,curve,
0.531029220616482,267.0,1068.0,0.25,85.0,0.3183520599250936,curve,
0.5305272337733647,269.0,1068.0,0.2518726591760299,85.0,0.3159851301115241,curve,
0.5301721978814516,270.0,1068.0,0.2528089887640449,86.0,0.3185185185185185,curve,
0.5289741419886304,272.0,1068.0,0.2546816479400749,86.0,0.3161764705882352,curve,
0.5248911529620496,273.0,1068.0,0.2556179775280899,86.0,0.315018315018315,curve,
